"Date","Open","High","Low","Close","VWAP ‌VWAP‌ (y,y,y)","SDVWAP1+ ‌VWAP‌ (y,y,y)","SDVWAP1- ‌VWAP‌ (y,y,y)","SDVWAP2+ ‌VWAP‌ (y,y,y)","SDVWAP2- ‌VWAP‌ (y,y,y)","SDVWAP3+ ‌VWAP‌ (y,y,y)","SDVWAP3- ‌VWAP‌ (y,y,y)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","OI","Volume"
"Tue Jul 14 2026 15:29:00 GMT+0530 (India Standard Time)","90.45","93.00","89.90","93.00","111.94","130.92","92.96","149.90","73.98","168.88","55.00","181.82","263.78","122.03","323.57","40.07","465.32","-101.68","4265105.00","203775.00"
"Wed Jul 15 2026 09:15:00 GMT+0530 (India Standard Time)","100.00","112.30","96.05","112.30","106.88","106.88","106.88","106.88","106.88","106.88","106.88","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","4282395.00","1529645.00"
"Wed Jul 15 2026 09:16:00 GMT+0530 (India Standard Time)","111.85","118.30","111.85","114.10","110.52","114.45","106.60","118.37","102.68","122.29","98.76","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","4667195.00","1317810.00"
"Wed Jul 15 2026 09:17:00 GMT+0530 (India Standard Time)","113.80","125.00","113.80","124.00","113.86","119.70","108.03","125.53","102.19","131.37","96.36","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","4869995.00","1344590.00"
"Wed Jul 15 2026 09:18:00 GMT+0530 (India Standard Time)","124.00","128.35","123.60","127.40","116.63","123.97","109.30","131.30","101.97","138.63","94.64","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","4888065.00","1183650.00"
"Wed Jul 15 2026 09:19:00 GMT+0530 (India Standard Time)","127.40","132.00","125.60","131.95","118.77","127.06","110.48","135.35","102.19","143.64","93.90","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","4988685.00","1036360.00"
"Wed Jul 15 2026 09:20:00 GMT+0530 (India Standard Time)","131.95","141.45","131.95","137.60","123.17","133.80","112.54","144.43","101.91","155.06","91.28","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","4981340.00","2038920.00"
"Wed Jul 15 2026 09:21:00 GMT+0530 (India Standard Time)","137.60","142.00","136.00","141.25","125.29","136.66","113.92","148.02","102.56","159.39","91.19","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","5145205.00","1239355.00"
"Wed Jul 15 2026 09:22:00 GMT+0530 (India Standard Time)","141.25","143.20","139.25","142.95","127.20","139.12","115.28","151.04","103.35","162.97","91.43","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","5344235.00","1267110.00"
"Wed Jul 15 2026 09:23:00 GMT+0530 (India Standard Time)","142.95","148.00","141.10","147.90","129.46","142.16","116.75","154.86","104.05","167.56","91.35","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","5558345.00","1525420.00"
