"Date","Open","High","Low","Close","VWAP ‌VWAP‌ (y,y,y)","SDVWAP1+ ‌VWAP‌ (y,y,y)","SDVWAP1- ‌VWAP‌ (y,y,y)","SDVWAP2+ ‌VWAP‌ (y,y,y)","SDVWAP2- ‌VWAP‌ (y,y,y)","SDVWAP3+ ‌VWAP‌ (y,y,y)","SDVWAP3- ‌VWAP‌ (y,y,y)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","OI","Volume"
"Tue Jul 14 2026 15:28:00 GMT+0530 (India Standard Time)","24020.00","24020.00","24015.80","24016.00","24072.39","24110.93","24033.85","24149.47","23995.31","24188.00","23956.78","24190.93","24351.87","24088.07","24454.73","23927.13","24718.53","23663.33","16539705.00","28405.00"
"Tue Jul 14 2026 15:29:00 GMT+0530 (India Standard Time)","24016.00","24026.90","24009.00","24022.00","24069.59","24108.93","24030.24","24148.27","23990.90","24187.61","23951.56","24190.93","24351.87","24088.07","24454.73","23927.13","24718.53","23663.33","16605875.00","170365.00"
"Wed Jul 15 2026 09:15:00 GMT+0530 (India Standard Time)","24069.00","24099.80","24069.00","24099.70","24089.50","24089.50","24089.50","24089.50","24089.50","24089.50","24089.50","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16413800.00","55965.00"
"Wed Jul 15 2026 09:16:00 GMT+0530 (India Standard Time)","24099.70","24117.00","24099.70","24103.10","24095.19","24103.24","24087.13","24111.30","24079.07","24119.36","24071.02","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16413800.00","27885.00"
"Wed Jul 15 2026 09:17:00 GMT+0530 (India Standard Time)","24103.10","24129.90","24103.10","24129.90","24106.53","24120.68","24092.39","24134.82","24078.24","24148.97","24064.09","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16408210.00","65910.00"
"Wed Jul 15 2026 09:18:00 GMT+0530 (India Standard Time)","24129.90","24140.00","24129.90","24138.10","24121.48","24139.25","24103.71","24157.01","24085.95","24174.78","24068.18","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16390270.00","154180.00"
"Wed Jul 15 2026 09:19:00 GMT+0530 (India Standard Time)","24138.10","24155.00","24138.00","24155.00","24124.75","24143.69","24105.80","24162.64","24086.86","24181.58","24067.91","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16347695.00","40365.00"
"Wed Jul 15 2026 09:20:00 GMT+0530 (India Standard Time)","24155.00","24174.90","24155.00","24165.00","24129.18","24151.04","24107.32","24172.90","24085.45","24194.77","24063.59","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16346265.00","42640.00"
"Wed Jul 15 2026 09:21:00 GMT+0530 (India Standard Time)","24165.00","24175.00","24161.00","24174.00","24132.24","24155.86","24108.62","24179.48","24085.01","24203.09","24061.39","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16336385.00","31395.00"
"Wed Jul 15 2026 09:22:00 GMT+0530 (India Standard Time)","24174.00","24179.00","24167.10","24170.60","24134.60","24159.38","24109.83","24184.15","24085.06","24208.92","24060.28","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16334955.00","26260.00"
"Wed Jul 15 2026 09:23:00 GMT+0530 (India Standard Time)","24170.60","24181.00","24168.60","24181.00","24136.97","24162.93","24111.01","24188.89","24085.06","24214.85","24059.10","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16329820.00","26390.00"
"Wed Jul 15 2026 09:24:00 GMT+0530 (India Standard Time)","24178.00","24198.60","24178.00","24182.90","24141.59","24170.20","24112.98","24198.80","24084.37","24227.41","24055.77","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16321045.00","48425.00"
"Wed Jul 15 2026 09:25:00 GMT+0530 (India Standard Time)","24182.90","24199.00","24182.90","24198.90","24145.03","24175.55","24114.51","24206.07","24083.99","24236.58","24053.48","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16318445.00","36790.00"
"Wed Jul 15 2026 09:26:00 GMT+0530 (India Standard Time)","24198.90","24210.00","24197.70","24200.40","24150.16","24183.60","24116.72","24217.04","24083.29","24250.48","24049.85","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16315910.00","54340.00"
"Wed Jul 15 2026 09:27:00 GMT+0530 (India Standard Time)","24200.40","24205.00","24197.00","24199.30","24152.04","24186.21","24117.88","24220.37","24083.71","24254.54","24049.55","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16313960.00","23725.00"
"Wed Jul 15 2026 09:28:00 GMT+0530 (India Standard Time)","24199.30","24210.00","24199.00","24199.00","24153.72","24188.52","24118.93","24223.32","24084.13","24258.11","24049.33","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16317145.00","21775.00"
"Wed Jul 15 2026 09:29:00 GMT+0530 (India Standard Time)","24207.10","24207.10","24187.40","24189.00","24155.27","24190.27","24120.26","24225.28","24085.25","24260.29","24050.24","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16321760.00","25805.00"
"Wed Jul 15 2026 09:30:00 GMT+0530 (India Standard Time)","24189.00","24210.00","24189.00","24205.30","24157.53","24193.09","24121.97","24228.66","24086.40","24264.22","24050.84","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16320265.00","35165.00"
"Wed Jul 15 2026 09:31:00 GMT+0530 (India Standard Time)","24205.30","24223.80","24200.50","24214.70","24159.79","24196.30","24123.27","24232.82","24086.76","24269.34","24050.24","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16323515.00","30420.00"
"Wed Jul 15 2026 09:32:00 GMT+0530 (India Standard Time)","24214.70","24214.70","24200.00","24200.10","24160.42","24197.06","24123.77","24233.71","24087.13","24270.36","24050.48","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16322800.00","10595.00"
"Wed Jul 15 2026 09:33:00 GMT+0530 (India Standard Time)","24200.10","24211.00","24199.10","24203.30","24160.90","24197.63","24124.17","24234.36","24087.44","24271.10","24050.71","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16322150.00","8385.00"
"Wed Jul 15 2026 09:34:00 GMT+0530 (India Standard Time)","24203.30","24218.00","24199.00","24199.00","24161.93","24198.85","24125.02","24235.76","24088.10","24272.67","24051.19","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16321890.00","18200.00"
"Wed Jul 15 2026 09:35:00 GMT+0530 (India Standard Time)","24199.00","24205.90","24195.70","24200.00","24162.28","24199.21","24125.35","24236.14","24088.42","24273.06","24051.50","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16314350.00","7150.00"
"Wed Jul 15 2026 09:36:00 GMT+0530 (India Standard Time)","24200.00","24205.00","24196.10","24204.00","24162.60","24199.55","24125.66","24236.50","24088.71","24273.45","24051.76","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16300505.00","6565.00"
"Wed Jul 15 2026 09:37:00 GMT+0530 (India Standard Time)","24204.00","24205.00","24198.40","24205.00","24163.00","24199.98","24126.02","24236.96","24089.04","24273.94","24052.06","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16301285.00","7930.00"
"Wed Jul 15 2026 09:38:00 GMT+0530 (India Standard Time)","24205.00","24205.00","24195.60","24197.70","24163.36","24200.33","24126.39","24237.30","24089.42","24274.28","24052.44","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16299010.00","8060.00"
"Wed Jul 15 2026 09:39:00 GMT+0530 (India Standard Time)","24197.70","24202.40","24191.30","24195.00","24163.73","24200.66","24126.81","24237.58","24089.88","24274.51","24052.95","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16299855.00","9295.00"
"Wed Jul 15 2026 09:40:00 GMT+0530 (India Standard Time)","24195.00","24200.00","24190.50","24192.10","24163.96","24200.84","24127.08","24237.72","24090.20","24274.60","24053.32","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16299855.00","6305.00"
"Wed Jul 15 2026 09:41:00 GMT+0530 (India Standard Time)","24192.10","24204.00","24191.80","24204.00","24164.45","24201.32","24127.59","24238.18","24090.72","24275.05","24053.86","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16299270.00","11505.00"
"Wed Jul 15 2026 09:42:00 GMT+0530 (India Standard Time)","24204.00","24204.00","24191.40","24195.00","24164.52","24201.38","24127.67","24238.24","24090.81","24275.09","24053.96","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16305120.00","1820.00"
"Wed Jul 15 2026 09:43:00 GMT+0530 (India Standard Time)","24195.00","24197.00","24189.90","24194.50","24164.68","24201.50","24127.86","24238.32","24091.04","24275.14","24054.22","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16302715.00","4485.00"
"Wed Jul 15 2026 09:44:00 GMT+0530 (India Standard Time)","24194.50","24197.70","24190.00","24197.70","24165.02","24201.77","24128.27","24238.53","24091.52","24275.28","24054.76","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16304405.00","9620.00"
"Wed Jul 15 2026 09:45:00 GMT+0530 (India Standard Time)","24197.70","24210.00","24197.00","24207.50","24165.59","24202.38","24128.80","24239.18","24092.00","24275.97","24055.21","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16303170.00","12415.00"
"Wed Jul 15 2026 09:46:00 GMT+0530 (India Standard Time)","24207.50","24210.00","24200.50","24202.00","24165.91","24202.72","24129.10","24239.53","24092.30","24276.34","24055.49","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16298165.00","7345.00"
"Wed Jul 15 2026 09:47:00 GMT+0530 (India Standard Time)","24202.00","24208.80","24201.10","24205.00","24166.08","24202.90","24129.27","24239.72","24092.45","24276.53","24055.63","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16297125.00","3835.00"
"Wed Jul 15 2026 09:48:00 GMT+0530 (India Standard Time)","24205.00","24210.00","24202.10","24202.10","24166.26","24203.08","24129.43","24239.91","24092.60","24276.73","24055.78","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16297905.00","3965.00"
"Wed Jul 15 2026 09:49:00 GMT+0530 (India Standard Time)","24202.10","24210.00","24193.40","24193.40","24166.38","24203.19","24129.57","24240.00","24092.76","24276.81","24055.95","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16299595.00","3380.00"
