"Date","Open","High","Low","Close","VWAP ‌VWAP‌ (y,y,y)","SDVWAP1+ ‌VWAP‌ (y,y,y)","SDVWAP1- ‌VWAP‌ (y,y,y)","SDVWAP2+ ‌VWAP‌ (y,y,y)","SDVWAP2- ‌VWAP‌ (y,y,y)","SDVWAP3+ ‌VWAP‌ (y,y,y)","SDVWAP3- ‌VWAP‌ (y,y,y)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","OI","Volume"
"Tue Jul 14 2026 15:28:00 GMT+0530 (India Standard Time)","291.00","291.00","288.10","290.95","253.08","273.44","232.72","293.80","212.36","314.16","192.00","214.03","261.97","128.12","347.88","80.18","481.73","-53.67","1857310.00","80600.00"
"Tue Jul 14 2026 15:29:00 GMT+0530 (India Standard Time)","290.95","291.00","286.25","288.80","253.25","273.72","232.79","294.18","212.33","314.64","191.86","214.03","261.97","128.12","347.88","80.18","481.73","-53.67","1831115.00","56680.00"
"Wed Jul 15 2026 09:15:00 GMT+0530 (India Standard Time)","248.95","249.95","222.20","222.20","231.45","231.45","231.45","231.45","231.45","231.45","231.45","267.60","320.70","235.70","352.60","182.60","437.60","97.60","1807650.00","284375.00"
"Wed Jul 15 2026 09:16:00 GMT+0530 (India Standard Time)","222.20","224.45","215.00","220.00","225.80","231.61","219.98","237.42","214.17","243.24","208.35","267.60","320.70","235.70","352.60","182.60","437.60","97.60","1868230.00","268905.00"
"Wed Jul 15 2026 09:17:00 GMT+0530 (India Standard Time)","219.05","219.10","202.00","203.00","219.37","229.09","209.66","238.81","199.94","248.52","190.22","267.60","320.70","235.70","352.60","182.60","437.60","97.60","1916265.00","313365.00"
"Wed Jul 15 2026 09:18:00 GMT+0530 (India Standard Time)","203.00","203.40","194.55","196.20","212.73","225.48","199.98","238.23","187.23","250.97","174.48","267.60","320.70","235.70","352.60","182.60","437.60","97.60","2060955.00","392275.00"
"Wed Jul 15 2026 09:19:00 GMT+0530 (India Standard Time)","196.20","199.50","188.05","188.95","207.78","221.95","193.62","236.12","179.45","250.28","165.29","267.60","320.70","235.70","352.60","182.60","437.60","97.60","2261350.00","398580.00"
"Wed Jul 15 2026 09:20:00 GMT+0530 (India Standard Time)","188.95","188.95","182.00","186.15","202.34","217.89","186.79","233.44","171.24","248.99","155.69","267.60","320.70","235.70","352.60","182.60","437.60","97.60","2433860.00","542165.00"
"Wed Jul 15 2026 09:21:00 GMT+0530 (India Standard Time)","186.15","186.25","180.05","180.55","199.03","215.07","182.98","231.11","166.94","247.15","150.90","267.60","320.70","235.70","352.60","182.60","437.60","97.60","2686905.00","435500.00"
"Wed Jul 15 2026 09:22:00 GMT+0530 (India Standard Time)","180.55","182.35","177.05","178.10","195.82","212.22","179.41","228.63","163.00","245.04","146.60","267.60","320.70","235.70","352.60","182.60","437.60","97.60","2901925.00","507975.00"
"Wed Jul 15 2026 09:23:00 GMT+0530 (India Standard Time)","178.10","179.90","176.10","177.30","193.47","209.93","177.01","226.40","160.54","242.86","144.08","267.60","320.70","235.70","352.60","182.60","437.60","97.60","3145675.00","469755.00"
"Wed Jul 15 2026 09:24:00 GMT+0530 (India Standard Time)","177.20","177.40","173.20","174.05","190.90","207.47","174.32","224.04","157.75","240.62","141.17","267.60","320.70","235.70","352.60","182.60","437.60","97.60","3367065.00","580840.00"
"Wed Jul 15 2026 09:25:00 GMT+0530 (India Standard Time)","174.05","174.80","168.45","168.45","187.56","204.48","170.64","221.40","153.72","238.32","136.80","267.60","320.70","235.70","352.60","182.60","437.60","97.60","3656640.00","823550.00"
"Wed Jul 15 2026 09:26:00 GMT+0530 (India Standard Time)","168.65","169.00","165.55","167.15","184.05","201.25","166.85","218.46","149.65","235.66","132.45","267.60","320.70","235.70","352.60","182.60","437.60","97.60","4082065.00","1046305.00"
"Wed Jul 15 2026 09:27:00 GMT+0530 (India Standard Time)","167.15","168.35","166.60","166.75","182.31","199.38","165.24","216.46","148.16","233.53","131.09","267.60","320.70","235.70","352.60","182.60","437.60","97.60","4434820.00","700505.00"
"Wed Jul 15 2026 09:28:00 GMT+0530 (India Standard Time)","166.75","168.50","163.10","168.50","180.36","197.15","163.58","213.94","146.79","230.72","130.01","267.60","320.70","235.70","352.60","182.60","437.60","97.60","4962035.00","962780.00"
"Wed Jul 15 2026 09:29:00 GMT+0530 (India Standard Time)","168.50","172.00","168.10","170.75","178.86","194.75","162.97","210.64","147.07","226.54","131.18","267.60","320.70","235.70","352.60","182.60","437.60","97.60","5314140.00","1357850.00"
"Wed Jul 15 2026 09:30:00 GMT+0530 (India Standard Time)","170.75","170.75","162.00","163.65","177.53","193.13","161.92","208.73","146.32","224.34","130.71","267.60","320.70","235.70","352.60","182.60","437.60","97.60","5657600.00","1004055.00"
